OrphaCode,DisorderName,GeneSymbol,GeneName,GeneLocus
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,KIF7,kinesin family member 7,15q26.1
93,Aspartylglucosaminuria,AGA,aspartylglucosaminidase,4q34.3
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,CWC27,CWC27 spliceosome associated cyclophilin,5q12.3
585,Multiple sulfatase deficiency,SUMF1,sulfatase modifying factor 1,3p26.1
118,Beta-mannosidosis,MANBA,mannosidase beta,4q24
166063,Pontocerebellar hypoplasia type 4,TSEN54,tRNA splicing endonuclease subunit 54,17q25.1
166078,Von Willebrand disease type 1,VWF,von Willebrand factor,12p13.31
166073,Pontocerebellar hypoplasia type 6,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",6q15
166084,Von Willebrand disease type 2A,VWF,von Willebrand factor,12p13.31
333,Farber disease,ASAH1,N-acylsphingosine amidohydrolase 1,8p22
349,Fucosidosis,FUCA1,alpha-L-fucosidase 1,1p36.11
166090,Von Willebrand disease type 2M,VWF,von Willebrand factor,12p13.31
166087,Von Willebrand disease type 2B,VWF,von Willebrand factor,12p13.31
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",1p21.2
166093,Von Willebrand disease type 2N,VWF,von Willebrand factor,12p13.31
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM,"glycogen phosphorylase, muscle associated",11q13.1
166096,Von Willebrand disease type 3,VWF,von Willebrand factor,12p13.31
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL2A1,collagen type II alpha 1 chain,12q13.11
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain,6p21.32
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,PFKM,"phosphofructokinase, muscle",12q13.11
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,FASTKD2,FAST kinase domains 2,2q33.3
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,PYGL,glycogen phosphorylase L,14q22.1
447,Paroxysmal nocturnal hemoglobinuria,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,Xp22.2
166108,Birk-Barel syndrome,KCNK9,potassium two pore domain channel subfamily K member 9,8q24.3
166119,Isolated osteopoikilosis,LEMD3,LEM domain containing 3,12q14.3
166260,Dentinogenesis imperfecta type 2,DSPP,dentin sialophosphoprotein,4q22.1
166265,Dentinogenesis imperfecta type 3,DSPP,dentin sialophosphoprotein,4q22.1
166272,Odontochondrodysplasia,TRIP11,thyroid hormone receptor interactor 11,14q32.12
576,Mucolipidosis type II,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,12q23.2
812,Sialidosis type 1,NEU1,neuraminidase 1,6p21.33
166282,Hereditary sick sinus syndrome,SCN5A,sodium voltage-gated channel alpha subunit 5,3p22.2
166282,Hereditary sick sinus syndrome,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,15q24.1
166282,Hereditary sick sinus syndrome,MYH6,myosin heavy chain 6,14q11.2
166282,Hereditary sick sinus syndrome,GNB2,G protein subunit beta 2,7q22.1
578,Mucolipidosis type IV,MCOLN1,mucolipin TRP cation channel 1,19p13.2
166286,Porokeratotic eccrine ostial and dermal duct nevus,GJB2,gap junction protein beta 2,13q12.11
461,Recessive X-linked ichthyosis,FLG,filaggrin,1q21.3
